Id,SalePrice
1461,131041.33
1462,160318.19
1463,183915.06
1464,196000.5
1465,188291.52
1466,175538.33
1467,171364.69
1468,167810.75
1469,181397.42
1470,127352.4
1471,200561.56
1472,95705.71
1473,97743.98
1474,152355.62
1475,126093.086
1476,382887.72
1477,253723.6
1478,289704.3
1479,248688.75
1480,556486.6
1481,311632.38
1482,207269.25
1483,169763.4
1484,170042.28
1485,172712.9
1486,192899.23
1487,329016.1
1488,229385.97
1489,211626.84
1490,221984.73
1491,189517.12
1492,95693.14
1493,191990.17
1494,287729.78
1495,284015.97
1496,238467.3
1497,182733.22
1498,160611.95
1499,157813.66
1500,156459.27
1501,180733.23
1502,152588.1
1503,307510.34
1504,238856.36
1505,228619.19
1506,182865.55
1507,248919.34
1508,197386.6
1509,163047.28
1510,145248.05
1511,144065.25
1512,168676.1
1513,145471.89
1514,160412.19
1515,189283.75
1516,156292.97
1517,159051.75
1518,132791.17
1519,229603.56
1520,135999.39
1521,140885.72
1522,161988.4
1523,115100.125
1524,125440.76
1525,124134.375
1526,120520.39
1527,103481.01
1528,129174.41
1529,152541.22
1530,169223.9
1531,110104.07
1532,94235.91
1533,152212.84
1534,118222.93
1535,155462.64
1536,115991.66
1537,72785.88
1538,167341.28
1539,204964.92
1540,93366.875
1541,144099.98
1542,140909.5
1543,219248.62
1544,78935.68
1545,106711.91
1546,127296.36
1547,140751.8
1548,135211.97
1549,114149.67
1550,141994.66
1551,106482.04
1552,136492.98
1553,153779.4
1554,116782.73
1555,168786.22
1556,82244.25
1557,107882.06
1558,91655.54
1559,81948.31
1560,133315.31
1561,143445.81
1562,129304.336
1563,123906.0
1564,154112.88
1565,148642.83
1566,234412.53
1567,71086.11
1568,230692.12
1569,148896.84
1570,142372.62
1571,121722.875
1572,149744.53
1573,246377.31
1574,112938.13
1575,225441.31
1576,234762.64
1577,200001.72
1578,148895.1
1579,146699.77
1580,190561.53
1581,146835.78
1582,127985.305
1583,314481.38
1584,233257.25
1585,140859.83
1586,66762.13
1587,98937.1
1588,157796.22
1589,96026.91
1590,135398.22
1591,95979.52
1592,115165.73
1593,127637.96
1594,147886.05
1595,115760.9
1596,240687.72
1597,188120.69
1598,205696.56
1599,180498.62
1600,169377.25
1601,66821.766
1602,117179.234
1603,82976.55
1604,273123.03
1605,242465.88
1606,168605.89
1607,155870.72
1608,204118.42
1609,192534.69
1610,147312.95
1611,140599.67
1612,158033.89
1613,162900.19
1614,124641.11
1615,89734.984
1616,70652.04
1617,86965.22
1618,127562.69
1619,138612.25
1620,150487.64
1621,132113.73
1622,138815.0
1623,289182.78
1624,222105.1
1625,126709.68
1626,159891.12
1627,188444.8
1628,273793.94
1629,178027.52
1630,403025.62
1631,221811.19
1632,244931.02
1633,168234.2
1634,189477.12
1635,181210.48
1636,154761.33
1637,185455.8
1638,196708.19
1639,178253.3
1640,253581.44
